帕萨特 03款 1.8T 自动挡,10万公里／2006-03／上海／2年会员商家,0.40
帕萨特 03款 1.8T 自动挡,13万公里／2006-03／上海／2年会员商家,0.40
帕萨特 03款 1.8T 自动挡,12万公里／2005-03／上海／1年会员商家,0.40
帕萨特 03款 1.8T 自动挡,12万公里／2005-06／上海／1年会员商家,0.40
Polo 03款 两厢 1.4 自动,10万公里／2006-04／上海／2年会员商家,0.50
帕萨特 03款 1.8T 自动挡,14万公里／2003-09／上海／1年会员商家,0.50
五菱之光 2008款 1.0L标准型,9.2万公里／2008-03／上海／2年会员商家,0.50
君威 2004款 2.5L 标准型,17万公里／2004-02／上海／2年会员商家,0.55
帕萨特 03款 1.8T 自动挡,13.5万公里／2006-03／上海／1年会员商家,0.55
君威 2004款 2.5L 豪华型,13.7万公里／2005-04／上海／1年会员商家,0.58
马自达6 03款 2.3L 自动,10.5万公里／2003-04／上海／3年会员商家,0.60
奥迪A6 03款 2.8L,10万公里／2003-07／上海／1年会员商家,0.60
马自达6 03款 2.3L 自动,12.5万公里／2005-11／上海／1年会员商家,0.60
君威 03款 3.0 自动,10.5万公里／2004-09／上海／1年会员商家,0.60
桑塔纳经典 05款 1.8 世纪新秀,10万公里／2005-02／上海／1年会员商家,0.65
君威 2004款 2.5L 豪华型,12万公里／2005-03／上海／1年会员商家,0.65
桑塔纳志俊 05款 1.8 MT 舒适型,10万公里／2005-08／上海／1年会员商家,0.65
金杯海狮 2007款 2.4L 手动 七座,33万公里／2007-03／上海／2年会员商家,0.65
长安之星2 2012款 1.0L超值版JL465QH,8.6万公里／2012-05／上海／2年会员商家,0.65
帕萨特 2004款 1.8T 自动基本型,12.6万公里／2004-02／上海／2年会员商家,0.68
长安之星S460 2009款 1.3L标准型,9.2万公里／2010-03／上海／2年会员商家,0.68
五菱之光 2010款 1.2L新版标准型II短车身LAQ,8.7万公里／2010-09／上海／2年会员商家,0.68
凯越 2005款 旅行版 1.8 自动舒适,10万公里／2005-11／上海／1年会员商家,0.70
五菱荣光 2011款 1.5L标准型,8万公里／2011-04／上海／2年会员商家,0.70
凯越 2006款 1.6 自动舒适型,10万公里／2006-07／上海／1年会员商家,0.70
帕萨特 2004款 1.8T 自动豪华型,14.6万公里／2004-07／上海／1年会员商家,0.74
金杯海狮 2009款 2.2L 手动 七座,9.8万公里／2009-03／上海／2年会员商家,0.75
帕萨特 2005款 1.8T 自动基本型,12.5万公里／2005-04／上海／1年会员商家,0.75
帕萨特 2005款 1.8T 自动基本型,10万公里／2005-06／上海／1年会员商家,0.75
长安之星S460 2009款 1.3L标准型,8.6万公里／2010-10／上海／1年会员商家,0.75
奥迪A6 03款 2.4L,13万公里／2004-05／上海／1年会员商家,0.78
蒙迪欧 2004款 2.0L 尊贵型,12万公里／2005-01／上海／1年会员商家,0.78
桑塔纳经典 06款 1.8 手动豪华型,12.6万公里／2005-03／上海／2年会员商家,0.78
帕萨特 06款 1.8T 自动,9.6万公里／2008-06／上海／商家,0.78
捷达 2006款 GIF 前卫百万纪念版,12.3万公里／2007-01／上海／商家,0.78
瑞虎 2007款 2.0L 自动舒适型,12万公里／2007-02／上海／1年会员商家,0.80
Polo 05款 两厢 1.4 自动挡,9.81万公里／2005-04／上海／1年会员商家,0.80
五菱荣光 2009款 1.2L 手动,8万公里／2010-03／上海／2年会员商家,0.80
伊兰特 2007款 1.6L 自动舒适型,10万公里／2006-06／上海／商家,0.80
五菱荣光 2009款 1.2L 手动,9万公里／2009-06／上海／1年会员商家,0.80
帕萨特 03款 1.8T 自动挡,8.9万公里／2005-02／上海／1年会员商家,0.80
五菱之光 2010款 1.0L新版实用型短车身,8万公里／2011-03／上海／1年会员商家,0.84
奥迪A6 03款 2.4L,10万公里／2005-03／上海／2年会员商家,0.85
景程 2007款 2.0 自动舒适型,12万公里／2007-01／上海／1年会员商家,0.88
蒙迪欧 2005款 2.5L 经典型,9.5万公里／2005-03／上海／3年会员商家,0.88
长安星光4500 2007款 1.3L-SC6645标准型,8.6万公里／2011-01／上海／2年会员商家,0.88
五菱荣光 2009款 1.2L 手动,7万公里／2011-02／上海／2年会员商家,0.90
君越 2006款 2.4 豪华型,15万公里／2006-04／上海／2年会员商家,0.90
飞度 2004款 1.5L CVT,13万公里／2004-09／上海／1年会员商家,0.90
五菱荣光 2009款 1.2L 手动,9万公里／2010-04／上海／1年会员商家,0.90
景程 2007款 2.0 自动舒适型,10万公里／2007-05／上海／1年会员商家,0.93
君越 2006款 2.4 精英型,13.5万公里／2006-02／上海／1年会员商家,0.98
福美来 2006款 1.6L 自动豪华SDX,9.8万公里／2007-01／上海／商家,0.98
天籁 2004款 230JK,14万公里／2004-05／上海／1年会员商家,0.99
金杯海狮 2011款 2.0L第五代快运王舒适K型4G20B,9万公里／2010-01／上海／2年会员商家,0.99
五菱之光 2013款 1.0L 实用型,4.8万公里／2014-10／上海／2年会员商家,0.99
金杯海狮 2009款 2.2L 手动 七座,9.6万公里／2009-08／上海／2年会员商家,1.00
福田风景 2011款 2.0L快捷豪华型长轴版491EQ4A,9.1万公里／2010-08／上海／2年会员商家,1.00
金杯海狮 2009款 2.2L 手动 七座,10.5万公里／2009-03／上海／2年会员商家,1.00
金杯海狮 2008款 2.2L 手动 九座,8万公里／2009-02／上海／2年会员商家,1.00
金杯海狮 2011款 2.0L第五代快运王舒适Z型4G20B,9万公里／2010-04／上海／2年会员商家,1.00
君越 2008款 2.4 标准版,12万公里／2007-03／上海／2年会员商家,1.00
金杯海狮 2011款 2.0L第五代快运王舒适K型4G20B,6.8万公里／2010-08／上海／2年会员商家,1.00
蒙迪欧 2005款 2.5L 经典型,13万公里／2005-05／上海／2年会员商家,1.00
标致307 2007款 改款 1.6L 自动舒适版,8万公里／2007-05／上海／商家,1.00
君越 2007款 2.4 豪华导航版,10万公里／2006-02／上海／2年会员商家,1.00
五菱之光 2015款 1.2L 标准型LSI,8万公里／2014-02／上海／2年会员商家,1.00
五菱荣光 2011款 1.2L标准型,8万公里／2010-05／上海／1年会员商家,1.00
金杯海狮 2011款 2.0L第五代动力王经典型4G20D4B,8万公里／2010-08／上海／2年会员商家,1.00
金杯海狮 2011款 2.0L第五代快运王舒适Z型4G20B,7.8万公里／2010-08／上海／2年会员商家,1.00
